Date,AAPL_LSTM,AAPL_BiLSTM,AAPL_RNN,AAPL_XGB,MSFT_LSTM,MSFT_BiLSTM,MSFT_RNN,MSFT_XGB,GOOGL_LSTM,GOOGL_BiLSTM,GOOGL_RNN,GOOGL_XGB,AMZN_LSTM,AMZN_BiLSTM,AMZN_RNN,AMZN_XGB,NVDA_LSTM,NVDA_BiLSTM,NVDA_RNN,NVDA_XGB,TSLA_LSTM,TSLA_BiLSTM,TSLA_RNN,TSLA_XGB,META_LSTM,META_BiLSTM,META_RNN,META_XGB,JPM_LSTM,JPM_BiLSTM,JPM_RNN,JPM_XGB,V_LSTM,V_BiLSTM,V_RNN,V_XGB,JNJ_LSTM,JNJ_BiLSTM,JNJ_RNN,JNJ_XGB,BTC-USD_LSTM,BTC-USD_BiLSTM,BTC-USD_RNN,BTC-USD_XGB,XRP-USD_LSTM,XRP-USD_BiLSTM,XRP-USD_RNN,XRP-USD_XGB,ETH-USD_LSTM,ETH-USD_BiLSTM,ETH-USD_RNN,ETH-USD_XGB,GC=F_LSTM,GC=F_BiLSTM,GC=F_RNN,GC=F_XGB,SI=F_LSTM,SI=F_BiLSTM,SI=F_RNN,SI=F_XGB
2026-04-24,216.9373,245.6226,172.604,170.7086,371.2752,354.6005,313.073,432.2437,310.4418,304.9987,145.3368,175.1698,207.0227,197.8204,185.249,158.1199,172.3463,189.3485,128.6143,129.6492,386.7451,370.3346,309.8676,231.5813,562.3524,530.9411,514.4734,464.5461,300.1777,266.318,183.6426,191.2994,293.7838,295.0405,269.5079,265.3681,185.2034,225.8754,158.5605,144.1339,72825.6562,66663.0156,65295.3047,62352.4688,1.4907,1.5551,1.0547,0.9073,1263.0675,2894.9014,1268.5702,2278.167,4958.7354,4328.8501,2370.6399,2301.6313,46.6741,42.5951,28.995,24.026
2026-04-27,215.9202,245.3863,173.8604,170.3306,371.188,354.0709,311.1313,430.7227,311.0219,305.0612,144.1166,174.946,206.9525,197.687,184.9968,152.1969,172.2115,189.1747,129.4705,129.6492,387.087,370.3681,309.821,230.2218,561.8591,528.8298,513.74,464.3734,300.4396,265.9052,180.9989,191.7648,293.3382,294.475,268.4835,265.3665,184.2799,225.8636,160.4074,143.9321,72983.3672,66515.5156,65445.5195,62809.0273,1.4943,1.5624,1.0468,0.9069,1230.7339,2934.8552,1221.0223,2279.8145,4974.6113,4325.9141,2389.8926,2300.7197,46.2407,42.1357,29.3344,24.024
2026-04-28,214.9292,245.2186,173.9878,169.176,371.0984,353.5297,309.0099,427.631,311.5847,305.0798,144.0159,175.4595,206.8841,197.6456,184.8446,143.5547,172.0787,189.0809,129.2319,129.6492,387.4231,370.2934,308.3016,229.2829,561.3729,526.8025,510.8497,464.4477,300.6945,265.5461,180.9733,191.7495,292.8985,294.0669,268.2744,265.4888,183.4272,225.8878,159.6061,143.7936,73139.0938,66375.5547,66731.1328,63256.5586,1.4978,1.5693,1.0345,0.8972,1199.6528,2974.7554,1171.8622,2292.5293,4991.1455,4324.0615,2373.1792,2296.7207,45.8282,41.7021,28.7804,24.0143
2026-04-29,213.9637,244.9967,172.1635,168.1131,371.0069,353.01,307.809,431.4869,312.1344,305.0336,142.5228,175.432,206.8177,197.6629,183.9908,146.3724,171.9477,189.219,129.355,129.6492,387.7533,370.2009,305.1042,227.663,560.8939,524.8353,513.8209,464.6273,300.9426,265.2123,179.7809,191.4059,292.4642,293.4824,266.7966,265.4724,182.6392,225.9162,159.7543,143.316,73292.7891,66243.1562,65846.1797,63305.2891,1.5011,1.5761,1.0242,0.8986,1169.8071,3014.7004,1135.8276,2311.1201,5008.1978,4320.9312,2372.2134,2300.8599,45.4344,41.2579,29.5396,24.0542
2026-04-30,213.0229,244.8183,171.9104,167.8867,370.9142,352.5296,309.7141,425.2966,312.6739,304.9713,141.3126,175.1698,206.753,197.7014,184.4055,146.6507,171.8186,189.5669,129.9929,129.6492,388.0771,370.0733,304.4113,228.009,560.4226,522.9562,516.6392,464.6875,301.1839,264.8654,178.0696,191.4415,292.0349,292.9451,267.4098,265.5414,181.9085,225.9564,159.8951,143.2629,73444.4141,66104.7656,65894.1016,63334.668,1.5043,1.5826,1.0229,0.8935,1141.1306,3054.5369,1066.2777,2342.3833,5025.6318,4317.9214,2377.3628,2301.3279,45.0575,40.8244,29.8203,24.1159
2026-05-01,212.106,244.5812,172.6212,167.8232,370.8206,352.0709,309.9665,422.2495,313.2054,304.9079,139.3633,174.946,206.6901,197.7392,184.1193,146.0731,171.6914,190.1255,129.5204,129.6492,388.3945,370.0343,303.1589,229.837,559.9589,521.1401,512.2305,465.5137,301.4187,264.5257,177.8349,191.7143,291.6103,292.3737,266.5483,265.4677,181.2289,226.0136,161.3467,143.0725,73593.9609,65953.7969,65397.4883,62499.625,1.5074,1.5889,1.0167,0.8927,1113.5499,3094.1506,1005.4902,2349.2297,5043.3164,4315.5259,2345.2808,2306.8494,44.6959,40.4438,28.9918,23.9868
2026-05-04,211.2123,244.3433,172.0106,167.6339,370.7267,351.6901,306.034,423.9271,313.7301,304.8296,136.4498,175.4595,206.6288,197.7771,184.3549,147.5352,171.5659,190.7522,129.5788,129.6492,388.7052,370.0969,302.7719,232.3802,559.5027,519.3033,508.2135,466.1535,301.647,264.2318,175.0615,191.6787,291.1899,291.7874,266.4283,265.4677,180.595,226.0645,159.8995,142.3507,73741.4219,65797.6719,65414.2969,63209.2656,1.5103,1.5948,1.013,0.8952,1086.9974,3133.6082,958.671,2343.6252,5061.1401,4312.7974,2347.311,2310.8618,44.3481,40.0847,29.9237,24.0178
2026-05-05,210.3411,244.0598,170.9574,167.794,370.6325,351.26,305.781,423.3547,314.2488,304.7684,134.3156,175.4595,206.569,197.81,184.46,146.1329,171.4422,190.8917,130.4803,129.6492,389.0093,370.1527,303.6324,229.1111,559.0536,517.4388,506.3949,470.1848,301.869,263.8565,172.996,191.4059,290.7735,291.1252,266.0887,265.6937,180.002,226.1223,158.983,141.3928,73886.8203,65641.3438,65946.0547,62106.1133,1.5131,1.6006,1.0028,0.8935,1061.4146,3173.0837,905.5869,2291.0496,5079.0088,4309.5308,2299.6504,2310.9492,44.013,39.7228,30.0712,23.9734
2026-05-06,209.4917,243.8045,170.6766,167.8202,370.5383,350.756,308.1546,419.5978,314.7616,304.6878,133.195,174.9184,206.5107,197.8173,184.3866,146.4932,171.3202,190.8566,129.3563,129.6492,389.3066,370.2041,304.5151,230.9911,558.6118,515.5148,514.3435,469.8503,302.0849,263.4716,171.1378,191.4415,290.3608,290.5164,265.615,265.5187,179.4458,226.2145,159.0681,140.6093,74030.125,65513.2344,65611.875,63526.3438,1.5159,1.6062,0.9981,0.8831,1034.3887,3212.8684,848.6578,2277.4854,5096.8496,4306.5117,2289.0186,2311.1021,43.6897,39.3845,28.2869,24.0675
2026-05-07,208.6633,243.537,170.3607,167.9825,370.4444,350.2278,305.9823,414.8409,315.2683,304.6309,132.0306,174.9458,206.4537,197.7937,184.3127,148.6418,171.1998,190.8685,129.3977,129.6492,389.5971,370.2086,304.684,229.7036,558.1768,513.6334,513.0831,469.4652,302.2947,263.1091,169.3974,191.7143,289.9517,289.8222,264.8982,266.1871,178.9225,226.3244,160.7405,140.581,74171.3828,65396.3125,65452.1719,63367.4961,1.5185,1.6118,0.9857,0.8812,1005.6756,3252.3645,802.7411,2263.3882,5114.6089,4303.1909,2249.4915,2312.8552,43.3773,39.0521,28.7029,24.106
